,name,cat,food_cat,food_rank,service_rank,price_rank,review_num,ranking_pos,ad_cat,pri_rate,address
846,Uchon Dolsot Seolleongtang,restaurant,Asian,45,50,45,10,1547,Myeongdong / Namdaemun,4.5,"24, Eulji-ro 12-gil, Jung-gu, Seoul 04550 South Korea"
847,L'Espoir Du Hibou,restaurant,French,45,45,40,26,1549,Gangnam-gu,4.0,"90-20, Cheongdam-dong, Gangnam-gu, Seoul South Korea"
848,Gwanghwamun Ddukgam,restaurant,Asian,45,40,40,12,1554,Jongno-gu,4.0,"21, Saemunan-ro3-Gil, Seoul South Korea"
849,Ramen Truck Lab,restaurant,Japanese,45,40,40,11,1555,Sangsu-dong,4.5,"31, Dongmak-ro 14-gil, Mapo-gu, Seoul 04074 South Korea"
850,Jirisan,restaurant,Korean,35,40,35,22,1558,Jongno-gu,4.0,"30, Insadong 14-gil, Jongno-gu, Seoul 03146 South Korea"
851,SongJuk,restaurant,Asian,40,40,35,22,1563,Jung-gu,4.0,"Best Western New Seoul Hotel 2F, 29-1 Taepyeongno 1-ga, Jung-gu, Seoul South Korea"
852,Cafe Mirror Room,restaurant,Cafe,40,40,35,10,1565,Jongno-gu,4.5,"40, Samcheong-ro 2-gil, Jongno-gu, Seoul 03053 South Korea"
853,BHC Chicken Dongdaemun,restaurant,Bar,40,30,30,13,1573,Jung-gu,4.0,"10, Euljiro 44-gil, Jung-gu 2F, Seoul 04561 South Korea"
854,Yellow Whole Chicken,restaurant,Asian,40,35,35,13,1576,Hongdae,4.5,"8, Hongik-ro3-Gil, Seoul South Korea"
855,Ediya Coffee Yeoksam Star,restaurant,Cafe,35,40,35,18,1577,Gangnam / Nonhyeon / Yeoksam,4.0,"403, Nonhyeon-ro, Gangnam-gu, Seoul 06247 South Korea"
856,Long Bread - Seorae Maeul,restaurant,French,45,40,40,14,1588,Seorae Village,4.0,"28, Sapyeong-daero 22-gil, Seocho-gu, Seoul 06576 South Korea"
857,Dos Tacos Jongno Store,restaurant,Mexican,45,40,40,33,1591,Jongno 1.2.3.4 ga-dong,4.0,"178-1 Gwancheol-dong, Jongno-gu, Seoul 110-111 South Korea"
858,Sodeulnyeok,restaurant,Asian,40,40,35,12,1614,Seocho-dong,4.0,"232, Hyoryeong-Ro, Seocho-Gu, Seoul 06709 South Korea"
859,Chamasineun Ddeul,restaurant,Asian,45,50,45,11,1619,Jongno-gu,4.5,"35-169, Samcheong-dong, Jongno-gu, Seoul South Korea"
860,Neurin Maeul Brewery & Pub Gangnam,restaurant,Asian,35,35,35,14,1624,Gangnam / Nonhyeon / Yeoksam,4.0,"7, Seocho-daero 73-gil, Seocho-gu, Seoul 06616 South Korea"
861,Pyeonggaok Samsung,restaurant,Asian,45,35,35,15,1625,Samseongdong / COEX,4.0,"37, Samseong-ro 95-gil, Gangnam-gu, Seoul 06159 South Korea"
862,Korea House,restaurant,Korean,35,45,30,34,1629,Jung-gu,3.5,"10, Toegye-ro 36-gil, Jung-gu, Seoul 04626 South Korea"
863,Mi Casa,restaurant,European,40,40,30,24,1632,Itaewon,4.0,"51 Itaewon-ro 27ga-gil, Seoul South Korea"
864,Klatch and Bardot Cheongdam,restaurant,Cafe,40,40,35,12,1637,Gangnam-gu,4.5,"91, Cheongdam-dong, Gangnam-gu Seungwon Bldg. 1~2F, Seoul 135-954 South Korea"
865,The Flying Pan White,restaurant,American,45,40,40,14,1640,Garosugil,4.0,"8, Dosan-daero 15-gil, Gangnam-gu, Seoul 06036 South Korea"
866,Top Cloud 23,restaurant,European,45,50,35,9,1642,Gongdeok-dong,5.0,"192, Baekbeom-ro, Mapo-gu, Seoul 04196 South Korea"
867,The Place Dining,restaurant,Italian,40,35,35,39,1654,Jung-gu,4.0,"126, Namsangongwon-gil, Yongsan-gu N Seoul Tower, Seoul 04340 South Korea"
868,Dubai Restaurant,restaurant,International,40,40,35,25,1656,Itaewon,3.5,"192, Itaewon-ro, Yongsan-gu 2f, Seoul 04406 South Korea"
869,Irodori,restaurant,Japanese,45,45,40,13,1658,Gangnam / Nonhyeon / Yeoksam,4.5,"676, Yeoksam-dong, Gangnam-gu Belle-essence Seoul Hotel, Seoul 135-915 South Korea"
870,Donghwa Banjeom,restaurant,Chinese,40,35,40,21,1659,Jung-gu,4.0,"7, Jangchungdan-ro 13-gil, Jung-gu, Seoul 04564 South Korea"
871,Olbaan,restaurant,Asian,40,40,40,11,1661,Yeongdeungpo-gu,4.0,"147, Uisadang-daero, Yeongdeungpo-gu B1, Seoul 07332 South Korea"
872,California Pizza Kitchen - Myeongdong M Plaza,restaurant,Pizza,35,35,30,23,1672,Myeongdong / Namdaemun,4.0,"27, Myeongdong 8-gil, Jung-gu M Plaza 6th floor, Seoul 04536 South Korea"
873,Kim Teacher,restaurant,Asian,45,35,40,16,1676,Ahyeon-dong,4.0,"195, Mapo-Daero, Seoul South Korea"
874,Shy Bana COEX Mall,restaurant,Cafe,30,35,30,19,1691,Samseongdong / COEX,3.5,"513, Yeongdong-daero, Gangnam-gu, Seoul 06164 South Korea"
875,Jacoby's Burgers,restaurant,American,40,30,35,57,1692,Yongsan-dong,3.5,"45-6 Yongsan-dong 2-ga, Yongsan-gu, Seoul South Korea"
876,Starbucks Hanyang Univ.,restaurant,Cafe,45,45,35,19,1695,Haengdang-dong,4.0,"225, Wangsimni-ro, Seongdong-gu Kyunghee Bldg., Seoul 04764 South Korea"
